id,position,employer,date,location,href
4386437,EMEA AR Analyst,Delphi Poland S.A.,2016-02-05,"Kraków, ma³opolskie","/praca/emea-ar-analyst-krakow,oferta,4386437"
4378049,Support Analyst with German,HCL Poland,2016-02-05,"Kraków, Zabierzów (pow. krakowski), ma³opolskie","/praca/support-analyst-with-german-krakow-zabierzow-pow-krakowski,oferta,4378049"
4349054,Customer Due Diligence Lead Analyst - KYC,Hays Poland,2016-02-05,"Kraków, ma³opolskie","/praca/customer-due-diligence-lead-analyst-kyc-krakow,oferta,4349054"
4377802,Corporate Actions Analyst,Franklin Templeton Investments Poland Sp. z o.o.,2016-02-05,"Poznañ, wielkopolskie","/praca/corporate-actions-analyst-poznan,oferta,4377802"
4361915,Risk Management Analyst,Hays Poland,2016-02-05,"Kraków, ma³opolskie","/praca/risk-management-analyst-krakow,oferta,4361915"
4341094,Operations - Content Quality Analyst with Spanish,Accenture,2016-02-05,"Warszawa, mazowieckie","/praca/operations-content-quality-analyst-with-spanish-warszawa,oferta,4341094"
4378062,Financial Reporting Tools Analyst,UBS,2016-02-05,"Zabierzów (pow. krakowski), ma³opolskie","/praca/financial-reporting-tools-analyst-zabierzow-pow-krakowski,oferta,4378062"
4368705,Operations - Content Quality Analyst with English and other languages,Accenture,2016-02-05,"Warszawa, mazowieckie","/praca/operations-content-quality-analyst-with-english-and-other-languages-warszawa,oferta,4368705"
4357566,KYC Junior Analyst,HSBC Service Delivery (Polska),2016-02-05,"Kraków, ma³opolskie","/praca/kyc-junior-analyst-krakow,oferta,4357566"
4365068,Market Research Analyst,Adecco Poland,2016-02-05,"Siechnice, dolnoœl¹skie","/praca/market-research-analyst-siechnice,oferta,4365068"
4376946,CFO Business Analyst,UBS,2016-02-05,"Zabierzów (pow. krakowski), ma³opolskie","/praca/cfo-business-analyst-zabierzow-pow-krakowski,oferta,4376946"
4348887,Information Security Analyst II,International Paper Polska,2016-02-05,"Kraków, ma³opolskie","/praca/information-security-analyst-ii-wieliczka,oferta,4348887"
4399670,Information Security Analyst II,International Paper Polska,2016-02-05,"Kwidzyn, pomorskie","/praca/information-security-analyst-ii-kwidzyn,oferta,4399670"
4395163,Analyst with English,Xerox Services £ódŸ,2016-02-05,"£ódŸ, ³ódzkie","/praca/analyst-with-english-lodz,oferta,4395163"
4394681,SAP Business Analyst,ZF TRW,2016-02-05,"Czêstochowa, œl¹skie","/praca/sap-business-analyst-czestochowa,oferta,4394681"
4394683,SAP Business Analyst,ZF TRW,2016-02-05,³ódzkie,"/praca/sap-business-analyst-lodzkie,oferta,4394683"
4395137,SAP Business Analyst,ZF TRW,2016-02-05,ma³opolskie,"/praca/sap-business-analyst-malopolskie,oferta,4395137"
4394992,3rd Level Support Analyst,IT KONTRAKT,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/3rd-level-support-analyst-wroclaw,oferta,4394992"
4394560,Project Control Analyst,IBM Client Innovation Center,2016-02-05,"Katowice, œl¹skie","/praca/project-control-analyst-katowice,oferta,4394560"
4393875,In¿ynier Analizy Wytrzyma³oœciowej MES (FEM),Gravet Consulting Sp. z o.o.,2016-02-05,"£ódŸ, ³ódzkie","/praca/stress-analyst-engineer-mes-engineer-lodz,oferta,4393875"
4379672,Enterprise Data Warehouse Regional Analyst,General Motors Manufacturing Poland,2016-02-05,"Gliwice, œl¹skie","/praca/enterprise-data-warehouse-regional-analyst-gliwice,oferta,4379672"
4394183,Claims Support Analyst,XL CATLIN,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/claims-support-analyst-wroclaw,oferta,4394183"
4393706,Senior Treasury Analyst,Delphi Poland S.A.,2016-02-05,"Kraków, ma³opolskie","/praca/senior-treasury-analyst-krakow,oferta,4393706"
4394154,Reinsurance Claims Analyst,XL CATLIN,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/reinsurance-claims-analyst-wroclaw,oferta,4394154"
4374765,Reporting/Accounting Analyst,Grafton Recruitment,2016-02-05,"£ódŸ, ³ódzkie","/praca/reporting-accounting-analyst-lodz,oferta,4374765"
4394245,Senior Business Analyst,IT KONTRAKT,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/senior-business-analyst-wroclaw,oferta,4394245"
4394209,Business Analyst,IT KONTRAKT,2016-02-05,"Wroc³aw, dolnoœl¹skie","/praca/business-analyst-wroclaw,oferta,4394209"
4393510,Senior IS Functional Analyst – SAP Sales & Distribution,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/senior-is-functional-analyst-sap-sales-distribution-krakow,oferta,4393510"
4383725,Business Software Analyst,Experis IT Warszawa,2016-02-05,"Kraków, ma³opolskie","/praca/business-software-analyst-krakow,oferta,4383725"
4384755,Financial Analyst,Experis Finance,2016-02-05,"Warszawa, mazowieckie","/praca/financial-analyst-warszawa,oferta,4384755"
4393292,HR Process Analyst Dutch Speaker,Capgemini Polska,2016-02-05,"Katowice, œl¹skie","/praca/hr-process-analyst-dutch-speaker-katowice,oferta,4393292"
4393544,Senior IS Functional Analyst – SAP FI/CO,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/senior-is-functional-analyst-sap-fi-co-krakow,oferta,4393544"
4393558,IS Functional Analyst – SAP FI/CO,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/is-functional-analyst-sap-fi-co-krakow,oferta,4393558"
4393571,Senior IS Functional Analyst – SAP Customer Service,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/senior-is-functional-analyst-sap-customer-service-krakow,oferta,4393571"
4393586,Senior IS Functional Analyst – SAP Security & Authorization,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/senior-is-functional-analyst-sap-security-authorization-krakow,oferta,4393586"
4393383,Business Analyst,Delphi Poland S.A.,2016-02-05,"Kraków, ma³opolskie","/praca/business-analyst-krakow,oferta,4393383"
4393624,Technology - .NET System Analyst,Accenture,2016-02-05,"£ódŸ, ³ódzkie","/praca/technology-net-system-analyst-lodz,oferta,4393624"
4393423,IS Functional Analyst – SAP Integration,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/is-functional-analyst-sap-integration-krakow,oferta,4393423"
4393486,IS Functional Analyst – SAP Sales & Distribution,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/is-functional-analyst-sap-sales-distribution-krakow,oferta,4393486"
4393522,Senior IS Functional Analyst – SAP Materials Management,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/senior-is-functional-analyst-sap-materials-management-krakow,oferta,4393522"
4393400,Senior IS Functional Analyst – SAP Integration,ABB,2016-02-05,"Kraków, ma³opolskie","/praca/senior-is-functional-analyst-sap-integration-krakow,oferta,4393400"
4393262,Junior Fraud & AML Analyst,Elavon Merchant Services,2016-02-05,"Warszawa, mazowieckie","/praca/junior-fraud-aml-analyst-warszawa,oferta,4393262"
4391081,Sourcing Analyst in Group Procurement,Nordea Operations Centre,2016-02-05,"£ódŸ, ³ódzkie","/praca/sourcing-analyst-in-group-procurement-lodz,oferta,4391081"
4393283,Mechanical Design Analyst,Adecco Poland,2016-02-05,"Warszawa, mazowieckie","/praca/mechanical-design-analyst-warszawa,oferta,4393283"
4362486,Junior Financial Analyst,Diageo Polska Sp. z o.o.,2016-02-05,"Warszawa, mazowieckie","/praca/junior-financial-analyst-warszawa,oferta,4362486"
4391863,Sales Analyst,Delphi Poland S.A.,2016-02-05,"Kraków, ma³opolskie","/praca/sales-analyst-krakow,oferta,4391863"
4392052,Data Analyst Mit Deutsch,Grafton Recruitment,2016-02-05,"Warszawa, mazowieckie","/praca/data-analyst-mit-deutsch-warszawa,oferta,4392052"
4384504,Senior Technical Analyst (French Speaker),HSBC Service Delivery (Polska),2016-02-05,"Kraków, ma³opolskie","/praca/senior-technical-analyst-french-speaker-krakow,oferta,4384504"
4365065,Analityk Rynku,Adecco Poland,2016-02-05,"Siechnice, dolnoœl¹skie","/praca/analityk-rynku-siechnice,oferta,4365065"
4336155,Analityk,Franklin Templeton Investments Poland Sp. z o.o.,2016-02-05,"Poznañ, wielkopolskie","/praca/analityk-poznan,oferta,4336155"
4349558,Analityk systemów IT,Bank BPH S.A.,2016-02-05,"Kraków, ma³opolskie","/praca/analityk-systemow-it-krakow,oferta,4349558"
4367394,Doradca Analityk Klienta Korporacyjnego,ING Bank Œl¹ski S.A.,2016-02-05,"Warszawa, mazowieckie","/praca/doradca-analityk-klienta-korporacyjnego-warszawa,oferta,4367394"
4361022,Analityk SAP (FI/CO lub LOG),Atos Polska,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-sap-fi-co-lub-log-warszawa,oferta,4361022"
4367078,Analityk Ryzyk Operacyjnych w Departamencie Zarz¹dzania Ryzykiem (umowa na zastêpstwo),TUiR WARTA S.A.,2016-02-05,"Warszawa, mazowieckie","/praca/analityk-ryzyk-w-departamencie-zarzadzania-ryzykiem-umowa-na-zastepstwo-warszawa,oferta,4367078"
4363159,Analityk Systemowy CRM,Hays Poland,2016-02-05,"Toruñ, kujawsko-pomorskie","/praca/analityk-systemowy-crm-torun,oferta,4363159"
